cline	re	source	data_type
22Rv1	mboi	sra	fastq
HeLa_MboI_G1_Snyc	mboi	sra	fastq
HeLa_Kyoto_MboI_G1_Snyc_STAG1_Depleted	mboi	sra	fastq
HeLa_Kyoto_MboI_G1_Snyc_STAG2_Depleted	mboi	sra	fastq
Nalm6	mboi	sra	fastq
A549	hindiii	sra	fastq
HepG2	hindiii	sra	fastq
HL60S4_14_Pore	mboi	sra	fastq
HL60S4_5_Pore	mboi	sra	fastq
HL60S4	mboi	sra	fastq
T47D	hindiii	encode	fastq
test_copy	hindiii	sra	fastq
test_short	hindiii	sra	fastq
tixon	hindiii	sra	fastq
UCD52CR	arima	custom	perREfragStats
UCD52PR	arima	custom	perREfragStats
LNCaP	hindiii	4dn	validpairs
